sales_line_id,date_key,store_id,product_id,qty_sold,net_sales_value
5000177,20260302,S108,P1008,3,116.97
5000178,20260302,S108,P1009,2,65.58
5000179,20260302,S108,P1010,1,29.99
5000180,20260302,S108,P1013,1,40.99
5000181,20260302,S108,P1014,1,23.99
5000182,20260302,S108,P1017,2,229.98
5000183,20260302,S108,P1021,2,143.98
5000184,20260302,S108,P1026,4,347.96
5000185,20260302,S108,P1027,2,159.98
5000186,20260302,S108,P1031,1,49.49
5000187,20260302,S108,P1032,1,99.99
5000188,20260302,S108,P1034,1,15.99
5000189,20260302,S108,P1037,1,29.99
5000190,20260302,S108,P1038,2,17.98
5000191,20260302,S108,P1040,2,23.98
5000192,20260302,S109,P1001,1,25.19
5000193,20260302,S109,P1008,1,35.09
5000194,20260302,S109,P1008,-2,-77.98
5000195,20260302,S109,P1009,1,40.99
5000196,20260302,S109,P1010,3,89.97
5000197,20260302,S109,P1012,1,32.39
5000198,20260302,S109,P1012,-2,-71.98
5000199,20260302,S109,P1013,2,73.78
5000200,20260302,S109,P1014,1,23.99
5000201,20260302,S109,P1018,1,125.99
5000202,20260302,S109,P1019,1,87.99
5000203,20260302,S109,P1022,1,97.59
5000204,20260302,S109,P1022,-2,-219.58
5000205,20260302,S109,P1023,1,114.99
5000206,20260302,S109,P1026,2,173.98
5000207,20260302,S109,P1027,4,319.96
5000208,20260302,S109,P1028,1,83.99
5000209,20260302,S109,P1029,1,78.99
5000210,20260302,S109,P1031,1,54.99
5000211,20260302,S109,P1035,2,41.38
5000212,20260302,S109,P1037,1,29.99
5000213,20260302,S109,P1038,1,8.09
5000214,20260302,S109,P1039,2,55.98
5000215,20260302,S109,P1039,-2,-55.98
5000216,20260302,S109,P1040,1,10.79
5000217,20260302,S111,P1010,1,29.99
5000218,20260302,S111,P1011,1,40.79
5000219,20260302,S111,P1015,1,32.99
5000220,20260302,S111,P1016,1,31.99
5000221,20260302,S111,P1018,1,125.99
5000222,20260302,S111,P1022,1,121.99
5000223,20260302,S111,P1026,1,86.99
5000224,20260302,S111,P1027,2,143.98
5000225,20260302,S111,P1029,1,71.09
5000226,20260302,S111,P1031,1,54.99
5000227,20260302,S111,P1032,2,199.98
5000228,20260302,S111,P1037,1,23.99
5000229,20260302,S112,P1003,1,29.99
5000230,20260302,S112,P1005,1,39.99
5000231,20260302,S112,P1011,1,40.79
5000232,20260302,S112,P1015,1,26.39
5000233,20260302,S112,P1026,1,86.99
5000234,20260302,S112,P1035,3,68.97
5000235,20260302,S112,P1037,1,23.99
5000236,20260302,S112,P1038,1,8.09
5000237,20260302,S113,P1001,1,22.39
5000238,20260302,S113,P1004,1,26.39
5000239,20260302,S113,P1010,1,23.99
5000240,20260302,S113,P1011,1,50.99
5000241,20260302,S113,P1017,1,114.99
5000242,20260302,S113,P1018,1,100.79
5000243,20260302,S113,P1022,1,121.99
5000244,20260302,S113,P1024,1,93.99
5000245,20260302,S113,P1025,1,44.99
5000246,20260302,S113,P1031,1,49.49
5000247,20260302,S113,P1033,1,7.99
5000248,20260302,S113,P1035,4,73.57
5000249,20260302,S114,P1002,1,31.49
5000250,20260302,S114,P1015,1,26.39
5000251,20260302,S114,P1019,1,87.99
5000252,20260302,S114,P1020,1,112.99
5000253,20260302,S114,P1024,1,75.19
5000254,20260302,S114,P1025,2,89.98
5000255,20260302,S114,P1029,1,71.09
5000256,20260302,S114,P1030,1,41.99
5000257,20260302,S114,P1034,1,15.99
5000258,20260302,S114,P1035,3,68.97
5000259,20260302,S114,P1036,1,23.39
5000260,20260302,S114,P1037,1,29.99
5000261,20260302,S115,P1002,1,34.99
5000261,20260302,S115,P1002,1,34.99
5000262,20260302,S115,P1003,1,26.99
5000262,20260302,S115,P1003,1,26.99
5000263,20260302,S115,P1004,1,32.99
5000263,20260302,S115,P1004,1,32.99
5000264,20260302,S115,P1005,1,39.99
5000264,20260302,S115,P1005,1,39.99
5000265,20260302,S115,P1006,1,30.39
5000265,20260302,S115,P1006,1,30.39
5000266,20260302,S115,P1009,1,40.99
5000266,20260302,S115,P1009,1,40.99
5000267,20260302,S115,P1010,1,29.99
5000267,20260302,S115,P1010,1,29.99
5000268,20260302,S115,P1011,1,50.99
5000268,20260302,S115,P1011,1,50.99
5000269,20260302,S115,P1013,4,163.96
5000269,20260302,S115,P1013,4,163.96
5000270,20260302,S115,P1018,1,125.99
5000270,20260302,S115,P1018,1,125.99
5000271,20260302,S115,P1023,1,91.99
5000271,20260302,S115,P1023,1,91.99
5000272,20260302,S115,P1025,1,39.99
5000272,20260302,S115,P1025,1,39.99
5000273,20260302,S115,P1030,1,37.79
5000273,20260302,S115,P1030,1,37.79
5000274,20260302,S115,P1033,2,19.98
5000274,20260302,S115,P1033,2,19.98
5000275,20260302,S115,P1034,1,15.99
5000275,20260302,S115,P1034,1,15.99
5000276,20260302,S115,P1035,1,20.69
5000276,20260302,S115,P1035,1,20.69
5000277,20260302,S115,P1037,1,26.99
5000277,20260302,S115,P1037,1,26.99
5000278,20260302,S115,P1039,1,27.99
5000278,20260302,S115,P1039,1,27.99
5000279,20260302,S115,P1040,1,11.99
5000279,20260302,S115,P1040,1,11.99
5000280,20260302,S116,P1001,1,25.19
5000280,20260302,S116,P1001,1,25.19
5000281,20260302,S116,P1004,1,32.99
5000281,20260302,S116,P1004,1,32.99
5000282,20260302,S116,P1010,1,26.99
5000282,20260302,S116,P1010,1,26.99
5000283,20260302,S116,P1018,1,125.99
5000283,20260302,S116,P1018,1,125.99
5000284,20260302,S116,P1020,2,225.98
5000284,20260302,S116,P1020,2,225.98
5000285,20260302,S116,P1031,2,109.98
5000285,20260302,S116,P1031,2,109.98
5000286,20260302,S117,P1002,1,27.99
5000286,20260302,S117,P1002,1,27.99
5000287,20260302,S117,P1005,1,39.99
5000287,20260302,S117,P1005,1,39.99
5000288,20260302,S117,P1007,1,43.99
5000288,20260302,S117,P1007,1,43.99
5000289,20260302,S117,P1012,1,32.39
5000289,20260302,S117,P1012,1,32.39
5000290,20260302,S117,P1013,1,32.79
5000290,20260302,S117,P1013,1,32.79
5000291,20260302,S117,P1017,1,103.49
5000291,20260302,S117,P1017,1,103.49
5000292,20260302,S117,P1018,1,100.79
5000292,20260302,S117,P1018,1,100.79
5000293,20260302,S117,P1019,5,439.95
5000293,20260302,S117,P1019,5,439.95
5000294,20260302,S117,P1020,2,225.98
5000294,20260302,S117,P1020,2,225.98
5000295,20260302,S117,P1021,1,71.99
5000295,20260302,S117,P1021,1,71.99
5000296,20260302,S117,P1022,1,97.59
5000296,20260302,S117,P1022,1,97.59
5000297,20260302,S117,P1023,3,275.98
5000297,20260302,S117,P1023,3,275.98
5000298,20260302,S117,P1025,2,99.98
5000298,20260302,S117,P1025,2,99.98
5000299,20260302,S117,P1026,1,86.99
5000299,20260302,S117,P1026,1,86.99
5000300,20260302,S117,P1028,1,83.99
5000300,20260302,S117,P1028,1,83.99
5000301,20260302,S117,P1029,1,63.19
5000301,20260302,S117,P1029,1,63.19
5000302,20260302,S117,P1033,1,8.99
5000302,20260302,S117,P1033,1,8.99
5000303,20260302,S117,P1035,1,18.39
5000303,20260302,S117,P1035,1,18.39
5000304,20260302,S117,P1036,1,25.99
5000304,20260302,S117,P1036,1,25.99
5000305,20260302,S118,P1001,1,22.39
5000305,20260302,S118,P1001,1,22.39
5000306,20260302,S118,P1005,1,39.99
5000306,20260302,S118,P1005,1,39.99
5000307,20260302,S118,P1006,1,34.19
5000307,20260302,S118,P1006,1,34.19
5000308,20260302,S118,P1010,1,26.99
5000308,20260302,S118,P1010,1,26.99
5000309,20260302,S118,P1010,-2,-47.98
5000309,20260302,S118,P1010,-2,-47.98
5000310,20260302,S118,P1013,2,81.98
5000310,20260302,S118,P1013,2,81.98
5000311,20260302,S118,P1015,2,65.98
5000311,20260302,S118,P1015,2,65.98
5000312,20260302,S118,P1016,1,39.99
5000312,20260302,S118,P1016,1,39.99
5000313,20260302,S118,P1017,2,229.98
5000313,20260302,S118,P1017,2,229.98
5000314,20260302,S118,P1018,2,251.98
5000314,20260302,S118,P1018,2,251.98
5000315,20260302,S118,P1020,2,203.38
5000315,20260302,S118,P1020,2,203.38
5000316,20260302,S118,P1029,2,157.98
5000316,20260302,S118,P1029,2,157.98
5000317,20260302,S118,P1037,1,29.99
5000317,20260302,S118,P1037,1,29.99
5000318,20260302,S118,P1038,2,17.98
5000318,20260302,S118,P1038,2,17.98
5000319,20260302,S119,P1007,2,87.98
5000319,20260302,S119,P1007,2,87.98
5000320,20260302,S119,P1010,1,26.99
5000320,20260302,S119,P1010,1,26.99
5000321,20260302,S119,P1013,1,40.99
5000321,20260302,S119,P1013,1,40.99
5000322,20260302,S119,P1024,1,84.59
5000322,20260302,S119,P1024,1,84.59
5000323,20260302,S119,P1027,1,79.99
5000323,20260302,S119,P1027,1,79.99
5000324,20260302,S119,P1029,1,71.09
5000324,20260302,S119,P1029,1,71.09
5000325,20260302,S119,P1031,1,54.99
5000325,20260302,S119,P1031,1,54.99
5000326,20260302,S119,P1033,1,8.99
5000326,20260302,S119,P1033,1,8.99
5000327,20260302,S119,P1035,1,22.99
5000327,20260302,S119,P1035,1,22.99
5000328,20260302,S120,P1002,1,34.99
5000328,20260302,S120,P1002,1,34.99
5000329,20260302,S120,P1005,1,39.99
5000329,20260302,S120,P1005,1,39.99
5000330,20260302,S120,P1010,1,29.99
5000330,20260302,S120,P1010,1,29.99
5000331,20260302,S120,P1012,1,32.39
5000331,20260302,S120,P1012,1,32.39
5000332,20260302,S120,P1015,2,65.98
5000332,20260302,S120,P1015,2,65.98
5000333,20260302,S120,P1016,1,35.99
5000333,20260302,S120,P1016,1,35.99
5000334,20260302,S120,P1017,3,344.97
5000334,20260302,S120,P1017,3,344.97
5000335,20260302,S120,P1022,1,97.59
5000335,20260302,S120,P1022,1,97.59
5000336,20260302,S120,P1029,1,78.99
5000336,20260302,S120,P1029,1,78.99
5000337,20260302,S120,P1031,1,54.99
5000337,20260302,S120,P1031,1,54.99
5000338,20260302,S120,P1032,1,99.99
5000338,20260302,S120,P1032,1,99.99
5000339,20260302,S120,P1033,1,9.99
5000339,20260302,S120,P1033,1,9.99
5000340,20260302,S120,P1035,1,22.99
5000340,20260302,S120,P1035,1,22.99
5000341,20260302,S120,P1039,1,25.19
5000341,20260302,S120,P1039,1,25.19
5000342,20260303,S101,P1002,1,34.99
5000343,20260303,S101,P1003,1,26.99
5000344,20260303,S101,P1004,1,26.39
5000345,20260303,S101,P1005,1,35.99
5000346,20260303,S101,P1006,1,37.99
5000347,20260303,S101,P1007,1,35.19
5000348,20260303,S101,P1009,1,32.79
5000349,20260303,S101,P1011,2,101.98
5000350,20260303,S101,P1015,1,26.39
5000351,20260303,S101,P1016,1,35.99
5000352,20260303,S101,P1018,1,113.39
5000353,20260303,S101,P1019,3,263.97
5000354,20260303,S101,P1021,3,194.37
5000355,20260303,S101,P1023,1,114.99
5000356,20260303,S101,P1024,1,93.99
5000357,20260303,S101,P1025,1,49.99
5000358,20260303,S101,P1030,1,41.99
5000359,20260303,S101,P1031,1,54.99
5000360,20260303,S101,P1036,1,23.39
5000361,20260303,S101,P1039,1,27.99
5000362,20260303,S102,P1003,4,119.96
5000363,20260303,S102,P1005,1,35.99
5000364,20260303,S102,P1009,1,36.89
5000365,20260303,S102,P1010,1,29.99
5000366,20260303,S102,P1011,3,152.97
5000367,20260303,S102,P1012,1,35.99
5000368,20260303,S102,P1014,1,23.99
5000369,20260303,S102,P1016,1,35.99
5000370,20260303,S102,P1017,1,103.49
5000371,20260303,S102,P1019,1,87.99
5000372,20260303,S102,P1020,1,101.69
5000373,20260303,S102,P1021,1,71.99
5000374,20260303,S102,P1022,3,365.97
5000375,20260303,S102,P1023,2,183.98
5000376,20260303,S102,P1026,1,78.29
5000377,20260303,S102,P1028,1,83.99
5000378,20260303,S102,P1029,2,142.18
5000379,20260303,S102,P1030,1,41.99
5000380,20260303,S102,P1032,1,89.99
5000381,20260303,S102,P1035,2,45.98
5000382,20260303,S102,P1036,2,51.98
5000383,20260303,S102,P1037,3,89.97
5000384,20260303,S102,P1038,1,8.99
5000385,20260303,S102,P1039,3,83.97
5000386,20260303,S102,P1040,1,9.59
5000387,20260303,S103,P1001,1,27.99
5000388,20260303,S103,P1002,2,69.98
5000389,20260303,S103,P1003,1,29.99
5000390,20260303,S103,P1008,1,35.09
5000391,20260303,S103,P1009,1,40.99
5000392,20260303,S103,P1012,1,32.39
5000393,20260303,S103,P1013,4,163.96
5000394,20260303,S103,P1016,2,71.98
5000395,20260303,S103,P1019,2,175.98
5000396,20260303,S103,P1020,1,112.99
5000397,20260303,S103,P1021,1,64.79
5000398,20260303,S103,P1023,1,114.99
5000399,20260303,S103,P1024,2,169.18
5000400,20260303,S103,P1025,1,39.99
5000401,20260303,S103,P1026,2,139.18
5000402,20260303,S103,P1027,1,71.99
5000403,20260303,S103,P1028,1,83.99
5000404,20260303,S103,P1029,1,78.99
5000405,20260303,S103,P1030,3,125.97
5000406,20260303,S103,P1031,1,54.99
5000407,20260303,S103,P1032,1,99.99
5000408,20260303,S103,P1033,4,39.96
5000409,20260303,S103,P1034,1,15.99
5000410,20260303,S103,P1036,2,41.58
5000411,20260303,S103,P1037,1,23.99
5000412,20260303,S103,P1038,1,8.99
5000413,20260303,S103,P1039,1,27.99
5000414,20260303,S104,P1002,1,34.99
5000415,20260303,S104,P1003,1,26.99
5000416,20260303,S104,P1005,1,39.99
5000417,20260303,S104,P1006,1,37.99
5000418,20260303,S104,P1007,1,39.59
5000419,20260303,S104,P1008,1,38.99
5000420,20260303,S104,P1009,1,40.99
5000421,20260303,S104,P1010,1,23.99
5000422,20260303,S104,P1011,1,45.89
5000423,20260303,S104,P1013,1,40.99
5000424,20260303,S104,P1015,3,98.97
5000425,20260303,S104,P1016,1,39.99
5000426,20260303,S104,P1017,4,367.97
5000427,20260303,S104,P1019,4,281.57
5000428,20260303,S104,P1024,1,93.99
5000429,20260303,S104,P1025,1,39.99
5000430,20260303,S104,P1026,1,86.99
5000431,20260303,S104,P1027,1,63.99
5000432,20260303,S104,P1030,1,37.79
5000433,20260303,S104,P1031,2,87.98
5000434,20260303,S104,P1036,1,25.99
5000435,20260303,S104,P1037,1,23.99
5000436,20260303,S104,P1040,1,11.99
5000437,20260303,S105,P1001,3,83.97
5000438,20260303,S105,P1005,2,71.98
5000439,20260303,S105,P1008,1,38.99
5000440,20260303,S105,P1009,2,81.98
5000441,20260303,S105,P1011,2,91.78
5000442,20260303,S105,P1012,1,32.39
5000443,20260303,S105,P1013,2,81.98
5000444,20260303,S105,P1014,1,26.99
5000445,20260303,S105,P1015,1,32.99
5000446,20260303,S105,P1017,2,206.98
5000447,20260303,S105,P1019,2,175.98
5000448,20260303,S105,P1021,2,143.98
5000449,20260303,S105,P1022,2,219.58
5000450,20260303,S105,P1023,2,206.98
5000451,20260303,S105,P1025,4,199.96
5000452,20260303,S105,P1026,2,173.98
5000453,20260303,S105,P1029,1,78.99
5000454,20260303,S105,P1030,1,41.99
5000455,20260303,S105,P1031,2,98.98
5000456,20260303,S105,P1032,1,99.99
5000457,20260303,S105,P1033,1,9.99
5000458,20260303,S105,P1034,1,15.99
5000459,20260303,S105,P1038,1,8.09
5000460,20260303,S105,P1039,1,27.99
5000461,20260303,S105,P1040,1,10.79
5000462,20260303,S106,P1001,1,27.99
5000463,20260303,S106,P1002,2,69.98
5000464,20260303,S106,P1005,1,39.99
5000465,20260303,S106,P1006,1,37.99
5000466,20260303,S106,P1007,2,87.98
5000467,20260303,S106,P1008,1,38.99
5000468,20260303,S106,P1009,4,163.96
5000469,20260303,S106,P1010,1,29.99
5000470,20260303,S106,P1011,1,50.99
5000471,20260303,S106,P1013,1,36.89
5000472,20260303,S106,P1014,1,29.99
5000473,20260303,S106,P1015,1,29.69
5000474,20260303,S106,P1016,1,39.99
5000475,20260303,S106,P1017,2,229.98
5000476,20260303,S106,P1020,1,112.99
5000477,20260303,S106,P1023,1,114.99
5000478,20260303,S106,P1024,3,281.97
5000479,20260303,S106,P1025,2,79.98
5000480,20260303,S106,P1027,1,79.99
5000481,20260303,S106,P1028,2,167.98
5000482,20260303,S106,P1031,1,54.99
5000483,20260303,S106,P1033,3,26.97
5000484,20260303,S106,P1035,1,20.69
5000485,20260303,S106,P1037,1,29.99
5000486,20260303,S106,P1038,1,8.09
5000487,20260303,S106,P1039,1,25.19
5000488,20260303,S106,P1040,1,11.99
5000489,20260303,S107,P1001,1,27.99
5000490,20260303,S107,P1003,1,26.99
5000491,20260303,S107,P1005,2,79.98
5000492,20260303,S107,P1007,2,87.98
5000493,20260303,S107,P1008,1,38.99
5000494,20260303,S107,P1009,1,36.89
5000495,20260303,S107,P1012,1,35.99
5000496,20260303,S107,P1013,2,81.98
5000497,20260303,S107,P1017,3,344.97
5000498,20260303,S107,P1021,1,64.79
5000499,20260303,S107,P1023,2,229.98
5000500,20260303,S107,P1025,1,44.99
5000501,20260303,S107,P1027,1,79.99
5000502,20260303,S107,P1028,1,67.19
5000503,20260303,S107,P1034,2,28.78
5000504,20260303,S107,P1035,3,68.97
5000505,20260303,S107,P1040,2,23.98
5000506,20260303,S108,P1001,1,27.99
5000507,20260303,S108,P1002,1,34.99
5000508,20260303,S108,P1004,3,98.97
5000509,20260303,S108,P1005,1,31.99
5000510,20260303,S108,P1007,1,43.99
5000511,20260303,S108,P1008,2,77.98
5000512,20260303,S108,P1010,1,29.99
5000513,20260303,S108,P1013,2,81.98
5000514,20260303,S108,P1014,1,29.99
5000515,20260303,S108,P1015,1,32.99
5000516,20260303,S108,P1017,1,114.99
5000517,20260303,S108,P1019,3,263.97
5000518,20260303,S108,P1020,1,112.99
5000519,20260303,S108,P1021,1,57.59
5000520,20260303,S108,P1022,1,109.79
5000521,20260303,S108,P1025,3,119.98
5000522,20260303,S108,P1027,1,71.99
5000523,20260303,S108,P1029,2,157.98
5000524,20260303,S108,P1031,1,54.99
5000525,20260303,S108,P1033,1,9.99
5000526,20260303,S108,P1035,1,18.39
5000527,20260303,S108,P1037,2,47.98
5000528,20260303,S109,P1002,1,34.99
5000529,20260303,S109,P1005,3,119.97
5000530,20260303,S109,P1006,2,75.98
5000531,20260303,S109,P1007,2,79.18
5000532,20260303,S109,P1008,1,38.99
5000533,20260303,S109,P1009,1,40.99
5000534,20260303,S109,P1010,2,59.98
5000535,20260303,S109,P1011,1,45.89
5000536,20260303,S109,P1013,2,65.58
5000537,20260303,S109,P1015,1,32.99
5000538,20260303,S109,P1016,1,35.99
5000539,20260303,S109,P1018,1,113.39
5000540,20260303,S109,P1019,1,87.99
5000541,20260303,S109,P1020,3,271.18
5000542,20260303,S109,P1021,2,143.98
5000543,20260303,S109,P1023,1,91.99
5000544,20260303,S109,P1024,1,93.99
5000545,20260303,S109,P1027,1,63.99
5000546,20260303,S109,P1028,1,83.99
5000547,20260303,S109,P1030,1,41.99
5000548,20260303,S109,P1031,1,54.99
5000549,20260303,S109,P1034,2,25.58
5000550,20260303,S109,P1035,3,68.97
5000551,20260303,S109,P1036,3,77.97
5000552,20260303,S109,P1037,1,23.99
5000553,20260303,S109,P1037,-2,-59.98
5000554,20260303,S109,P1040,1,11.99
5000555,20260303,S111,P1001,1,27.99
5000556,20260303,S111,P1002,1,31.49
5000557,20260303,S111,P1013,1,40.99
5000558,20260303,S111,P1016,1,39.99
5000559,20260303,S111,P1019,2,175.98
5000560,20260303,S111,P1022,1,97.59
5000561,20260303,S111,P1027,2,159.98
5000562,20260303,S111,P1039,1,27.99
5000563,20260303,S112,P1016,1,31.99
5000564,20260303,S112,P1018,1,100.79
5000565,20260303,S112,P1025,1,49.99
5000566,20260303,S112,P1036,1,25.99
5000567,20260303,S112,P1038,1,8.99
5000568,20260303,S112,P1039,1,25.19
5000569,20260303,S113,P1001,1,22.39
5000570,20260303,S113,P1001,-2,-44.78
5000571,20260303,S113,P1007,1,43.99
5000572,20260303,S113,P1018,2,226.78
5000573,20260303,S113,P1019,2,158.38
5000574,20260303,S113,P1026,1,86.99
5000575,20260303,S113,P1030,1,41.99
5000576,20260303,S113,P1035,1,18.39
5000577,20260303,S114,P1003,1,29.99
5000578,20260303,S114,P1009,1,32.79
5000579,20260303,S114,P1017,1,114.99
5000580,20260303,S114,P1027,1,79.99
5000581,20260303,S114,P1035,1,22.99
